package	num	trackers
gpm.tnt_premier	7	AppsFlyer,Google CrashLytics,Pushwoosh,Google Firebase Analytics,Yandex Ad,AppMetrica,Google AdMob
com.herocraft.game.free.redball3	21	Flurry,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Inmobi,Unity3d Ads,Yandex Ad,Amplitude,AppMetrica,Vungle,Tapjoy,Mintegral,Tenjin,Google AdMob,IAB Open Measurement,VKontakte SDK
com.vk.clips	6	Google CrashLytics,Google Firebase Analytics,myTracker,myTarget,IAB Open Measurement,VKontakte SDK
ru.mail.mailnews	4	Google CrashLytics,Google Firebase Analytics,myTracker,myTarget
ru.mosreg.ekjp	7	Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,AppMetrica,VKontakte SDK
ru.drom.pdd.android.app	4	Google CrashLytics,Google Analytics,Google Firebase Analytics,Huawei Mobile Services (HMS) Core
com.holden.radio	4	Google Firebase Analytics,Yandex Ad,AppMetrica,Google AdMob
ru.rabota.app2	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.psbank.msb.dev.psb_appstore	2	Google CrashLytics,Google Firebase Analytics
com.easypay_fssp	10	Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,Google Tag Manager,Branch,OpenTelemetry (OpenCensus, OpenTracing)
com.icepower.greetcard	5	Google Firebase Analytics,Yandex Ad,AppMetrica,OneSignal,Huawei Mobile Services (HMS) Core
intech.global.com.beeline	4	Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager
ru.ok.messages	5	Google CrashLytics,Google Firebase Analytics,myTracker,myTarget,VKontakte SDK
com.zengalt.engster	4	Google CrashLytics,Google Analytics,Google Firebase Analytics,AppMetrica
ru.drom.fines	4	Google CrashLytics,Google Analytics,Google Firebase Analytics,Huawei Mobile Services (HMS) Core
ru.sberins.insureapp.android	4	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica
com.espritgames.rpg.nine.songs	9	AppsFlyer,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Amplitude,Bugly,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.mosparking.appnew	5	Flurry,Google CrashLytics,Google Firebase Analytics,Mapbox,Huawei Mobile Services (HMS) Core
com.openbank.msb	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
su.sovietgames.everlasting_summer	0	
info.goodline.vrach42	9	Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,Amplitude,AppMetrica,Bugsnag,Metrics
ru.tinkoff.investing	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Amplitude,Google AdMob,Huawei Mobile Services (HMS) Core
net.wapsmskey.wartank	2	Adjust,myTracker
ru.sutochno_redesign	3	Google CrashLytics,Google Firebase Analytics,AppMetrica
ru.mail.horo.android	10	Flurry,Google CrashLytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,myTracker,myTarget
ru.rbc.news.starter	4	Google CrashLytics,Google Firebase Analytics,AppMetrica,Google AdMob
com.tvoytrener.timkoilia	0	
ru.mos.app	4	Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica
ru.gdemoideti.parent	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,AppMetrica
com.fishermator.fishermator	0	
ru.cn.tv	11	Flurry,Google CrashLytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Inmobi,Yandex Ad,AppMetrica,myTarget,Google AdMob,Huawei Mobile Services (HMS) Core
com.gamemisctop.busSimulator3D	2	Unity3d Ads,Google AdMob
ru.more.play	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,Huawei Mobile Services (HMS) Core
com.programmisty.emiasapp	3	Google Firebase Analytics,AppMetrica,Google AdMob
com.sberauto.mobile	8	AppsFlyer,Google CrashLytics,Google Firebase Analytics,MixPanel,AppMetrica,Google AdMob,IAB Open Measurement,Huawei Mobile Services (HMS) Core
ru.alrosa.dp	2	Google CrashLytics,Google Firebase Analytics
appinventor.ai_lihisa89.MoonShine	13	Google Firebase Analytics,Facebook Ads,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Unity3d Ads,OneSignal,Startapp,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics,Pollfish,Google AdMob,IAB Open Measurement
ru.alexeydubinin.birthdays	2	Yandex Ad,AppMetrica
com.ivolk.estrelka	0	
ru.alfabank.oavdo.amc	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Snowplow,Huawei Mobile Services (HMS) Core
com.playtox.mf.rustore	4	Google Firebase Analytics,Facebook Login,AppMetrica,VKontakte SDK
ru.kari.android	3	Google CrashLytics,Google Firebase Analytics,AppMetrica
ru.rambler.lenta	0	
reactivephone.msearch	3	Google CrashLytics,Google Firebase Analytics,AppMetrica
ru.beeline.tve.android	8	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,AppMetrica
com.simplepayments.gkh	10	Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,Google Tag Manager,Branch,OpenTelemetry (OpenCensus, OpenTracing)
ru.sbcs.store	12	Google CrashLytics,Google Analytics,Google Firebase Analytics,Adjust,Facebook Analytics,Facebook Login,Facebook Share,Google Tag Manager,myTracker,myTarget,VKontakte SDK,Facebook Flipper
ru.gosuslugi.culture	5	Google CrashLytics,Google Firebase Analytics,AppMetrica,myTracker,Huawei Mobile Services (HMS) Core
ru.ria.radiosputnik	7	Google CrashLytics,Google Firebase Analytics,Yandex Ad,AppMetrica,OneSignal,myTarget,Huawei Mobile Services (HMS) Core
com.atnsoft.calculator.free	1	Google AdMob
ru.zhuck.webapp	4	Google CrashLytics,Google Firebase Analytics,Google AdMob,Huawei Mobile Services (HMS) Core
com.lunappstudio.evopuzzles	20	Flurry,Ogury Presage,Google Firebase Analytics,Facebook Ads,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Unity3d Ads,Yandex Ad,AppMetrica,ironSource,Appodeal,Vungle,Criteo,myTracker,myTarget,Google AdMob,IAB Open Measurement,Appodeal Stack,BidMachine
ru.mosreg.uslugi.mobile.beta	3	Google CrashLytics,Google Firebase Analytics,AppMetrica
ru.yandex.androidkeyboard	1	AppMetrica
com.deliveryclub	12	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Amplitude,AppMetrica,Branch,myTracker,myTarget,Huawei Mobile Services (HMS) Core,VKontakte SDK
mint.dating	5	Google Firebase Analytics,Yandex Ad,AppMetrica,Google AdMob,VKontakte SDK
ru.publishing1c.heroes	14	Google CrashLytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,Unity3d Ads,AppMetrica,ironSource,myTracker,myTarget,Google AdMob,IAB Open Measurement,Pangle
ru.tinkoff.mvno	8	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Amplitude,Google AdMob,Huawei Mobile Services (HMS) Core,VKontakte SDK
ru.yandex.translate	1	AppMetrica
skyeng.words.prod	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,VKontakte SDK
ru.farpost.dromfilter	6	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Huawei Mobile Services (HMS) Core
ru.yandex.taxi	6	Google Analytics,Google Firebase Analytics,Adjust,Google Tag Manager,AppMetrica,Huawei Mobile Services (HMS) Core
heroeswm.ru	1	AppMetrica
com.my.juggernautwars	27	AppsFlyer,Flurry,HockeyApp,Google Analytics,Google Firebase Analytics,ChartBoost,Moat,Facebook Ads,Facebook Analytics,Facebook Login,AppLovin (MAX and SparkLabs),AdColony,Fyber,Google Tag Manager,Inmobi,Unity3d Ads,ironSource,Vungle,myTracker,HyprMX,myTarget,Tapjoy,Microsoft Visual Studio App Center Crashes,Google AdMob,IAB Open Measurement,Mail.ru,VKontakte SDK
ru.sber.investor	1	Google Firebase Analytics
ru.vkusvill	6	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,AppMetrica
ru.crptech.mark	5	Google CrashLytics,Google Firebase Analytics,AppMetrica,myTracker,VKontakte SDK
com.ertelecom.smarthome	10	Flurry,Google CrashLytics,Pushwoosh,Google Analytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Places,Facebook Share,Google Tag Manager
com.gsgroup.tricoloronline.mobile	5	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google AdMob
ru.mts.music.android	8	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,AppMetrica,Branch,VKontakte SDK
ru.hi_chef.twa	2	Google Firebase Analytics,myTracker
com.nekki.shadowfightarena_xsolla	23	AppsFlyer,Google CrashLytics,Google Firebase Analytics,ChartBoost,HelpShift,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),AdColony,Amazon Advertisement,Fyber,Unity3d Ads,ironSource,Vungle,myTracker,myTarget,Tapjoy,Bugsnag,Google AdMob,IAB Open Measurement,Pangle
com.interactive.novella	17	AppsFlyer,Google CrashLytics,Google Firebase Analytics,Facebook Ads,Facebook Analytics,Facebook Login,Facebook Share,AppLovin (MAX and SparkLabs),Amazon Advertisement,Unity3d Ads,ironSource,Vungle,myTracker,myTarget,Google AdMob,IAB Open Measurement,Pangle
com.sberbank.sberpravo	3	Google CrashLytics,Google Firebase Analytics,AppMetrica
com.smp.android	4	Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core
ru.beeline.beebookreader	5	Flurry,Google CrashLytics,Google Analytics,Google Firebase Analytics,AppMetrica
ru.litres.android	10	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,Facebook Analytics,Facebook Login,Facebook Share,Google Tag Manager,AppMetrica,VKontakte SDK
